;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
111;0.33824698;0.096275262;-0.660708031;0.891985482;-0.211609705;-0.837218896;KAA-MW;2021-01-21 11:08:45
112;1.38579452;-2.018047665;1.033288289;3.370306702;0.484445372;0.655245605;KAA-MW;2021-01-21 11:09:00
113;1.271314557;-3.209374368;1.020198368;4.080727354;0.119961919;1.317382409;KAA-MW;2021-01-21 11:09:15
114;3.233875795;0.359261405;-0.524211321;1.98549265;0.115856872;-0.084000544;KAA-MW;2021-01-21 11:09:30
115;3.670981921;-0.175821058;-0.606368699;2.315632289;0.089921274;0.278423877;KAA-MW;2021-01-21 11:09:45
116;-0.30266322;0.023797528;-0.989035316;0.554584084;-0.304996616;-0.87017666;KAA-MW;2021-01-21 11:10:00
117;-1.174167779;-0.372627266;-0.574579694;0.753087986;-0.305817876;-0.865970365;KAA-MW;2021-01-21 11:10:15
118;0.565059261;0.365128642;-1.109775453;0.644178204;-0.240872267;-0.796832975;KAA-MW;2021-01-21 11:10:30
119;-0.539269338;-1.175528458;-0.162506664;1.636805518;-0.158752397;-0.241478782;KAA-MW;2021-01-21 11:10:45
120;1.651074961;-2.286804449;0.761136821;3.745267797;0.066003067;1.14334037;KAA-MW;2021-01-21 11:11:00
121;2.774828925;0.627717574;-0.721281428;1.504592225;0.027530717;-0.483174059;KAA-MW;2021-01-21 11:11:15
122;2.217092668;1.130078081;-1.238165307;0.752018735;-0.091699764;-0.851725177;KAA-MW;2021-01-21 11:11:30
123;0.300671296;0.210579557;-0.775366033;0.821912031;-0.253923515;-0.833326849;KAA-MW;2021-01-21 11:11:45
124;-0.707702738;-1.401610265;0.492970231;2.031954935;0.006249315;-0.26154518;KAA-MW;2021-01-21 11:12:00
125;3.829114469;1.534722323;-1.519717248;0.964101531;-0.098019096;-0.676885158;KAA-MW;2021-01-21 11:12:15
126;0.285883701;0.20575878;-0.795510958;0.772260808;-0.289521988;-0.994824422;KAA-MW;2021-01-21 11:12:30
127;0.686890214;-0.327551135;-0.328216128;1.487720638;-0.0736251;-0.497074503;KAA-MW;2021-01-21 11:12:45
128;2.997237597;1.139428593;-0.607843496;1.462543937;0.008222369;-0.698643353;KAA-MW;2021-01-21 11:13:00
129;1.472393719;-1.679364758;0.637018212;3.053429868;0.387714777;0.469763119;KAA-MW;2021-01-21 11:13:15
130;4.205596653;1.826473234;-1.62783005;0.964194001;0.024490027;-0.573484893;KAA-MW;2021-01-21 11:13:30
131;-0.63706924;-1.333995728;0.168674259;1.808595193;-0.150928774;-0.415872295;KAA-MW;2021-01-21 11:14:00
132;-0.380054664;0.006403508;-0.337285734;0.962146317;-0.207785345;-1.012458834;KAA-MW;2021-01-21 11:14:15
133;-0.6266362;-0.239416892;-0.387723979;1.021076034;-0.184521551;-0.762830038;KAA-MW;2021-01-21 11:14:45
134;3.19778472;1.180249248;-1.03106564;1.305651182;-0.020442077;-0.604515672;KAA-MW;2021-01-21 11:15:00
135;2.448924031;1.165496074;-0.829780314;1.145535313;0.030087031;-0.766109884;KAA-MW;2021-01-21 11:15:15
136;3.351806754;0.408720133;-0.886023653;1.837836011;0.046084253;-0.083642846;KAA-MW;2021-01-21 11:15:30
137;-0.226379884;0.254426223;-0.36554276;0.942801234;-0.162200901;-0.998321991;KAA-MW;2021-01-21 11:15:45
138;1.482234474;0.963037694;-0.660955643;1.019008662;-0.069081068;-0.918473352;KAA-MW;2021-01-21 11:16:00
139;0.262237845;-0.065284985;-0.417517461;1.234569331;-0.115263644;-0.745637479;KAA-MW;2021-01-21 11:16:15
140;-2.376283252;-0.567068289;-0.768607174;-0.538130852;-1.141428988;-0.202896252;BR-MW;2021-01-21 14:57:30
141;-2.821420098;-0.743494346;-0.579001873;-0.503696203;-1.127911139;-0.234442313;BR-MW;2021-01-21 14:57:45
142;0.560685284;0.4977635;-1.325001102;-0.383222494;-0.995790889;0.011686297;BR-MW;2021-01-21 14:58:15
143;1.23304451;0.238287387;-1.178937179;0.120113498;-0.826736752;0.462492085;BR-MW;2021-01-21 14:58:30
144;1.096409049;0.721743203;-1.489571711;-0.389914188;-0.880283445;0.125438906;BR-MW;2021-01-21 14:58:45
145;0.690877417;0.339632126;-1.124341204;-0.175945012;-0.8345208;0.123623229;BR-MW;2021-01-21 14:59:00
146;0.629356438;0.500689329;-1.285081946;-0.318377721;-0.940524778;0.065879336;BR-MW;2021-01-21 14:59:15
147;0.672801981;0.573923058;-1.201919104;-0.28509082;-0.9289051;0.0278248;BR-MW;2021-01-21 14:59:30
